School Name,Free/Reduced Lunch Count
Battle Lake Elementary,82
Battle Lake Secondary,79
Adams Elementary,124
Cleveland Elementary,160
McKinley Elementary,103
iQ Academy 9-12,116
iQ Academy 6-8,66
iQ Academy K-5,81
Fergus Falls Area Learning Center,58
Kennedy Middle School,304
Kennedy High School,213
Henning Elementary,127
Henning Secondary,81
Parkers Prairie Elementary,101
Parkers Prairie Secondary,91
Viking Elementary School,282
Pelican Rapids Secondary,226
Heart of The Lake Elementary,250
Prairie Wind Middle,192
Perham Senior High,165
Perham Area Learning Center,25
Underwood Elementary,135
Underwood Secondary,107
New York Mills Elementary,240
New York Mills Secondary,157
Goodridge Elementary,84
Goodridge Secondary,46
Challenger Elementary,342
Franklin Middle,177
Lincoln Senior High,192
Northwest Area Learning Center,23
Willow River Elementary,99
Willow River Secondary,77
Early Childhood,7
Pine City Elementary,401
Pine City Secondary,276
Pine City Area Learning Center,24
Edgerton Secondary,99
Edgerton Elementary,111
Climax Elementary,45
Climax Secondary,53
Washington Elementary,70
Crookston Pre-K Program,
Highland Elementary,259
Crookston Secondary,346
Northern Lights Academy,
South Point Elementary,165
New Heights Elementary,223
Central Middle,160
East Grand Forks Senior High,207
Fertile-Beltrami Elementary,116
Fertile-Beltrami Secondary,84
Fisher Elementary,76
Fisher Secondary,49
Magelssen Elementary,196
Fosston Secondary,150
Pike Lake Kindergarten Center,295
Snail Lake Kindergarten Center,
Bel Air Elementary,258
Island Lake Elementary,148
Pinewood Elementary,288
Sunnyside Elementary,265
Turtle Lake Elementary,135
Valentine Hills Elementary,332
Speech Program - Sp Ed Program,7
Mounds View Bridges Program,6
NETS,
ECSE Program,58
Children’s MN Roseville PHP,
Mounds View Adult Education,
Mounds View ALC,63
Career and Life Transition Program,27
Mounds View Senior High,345
Irondale Senior High,761
Edgewood Middle School,322
Highview Middle School,334
REACH Academy,9
Chippewa Middle School,159
Birth To Two ECSE,43
Carver Elementary,599
Castle Elementary,396
Cowern Elementary,291
Eagle Point Elementary,405
Early Childhood Special Education,109
Justice Alan Page Elementary School,626
Richardson Elementary,492
Weaver Elementary,325
622 Alternative Middle/High School,
Harmony Learning Center,36
Beaver Lake Voluntary Pre-K,12
The Next Step,58
622 Online High School,78
Skyview Community Middle,640
John Glenn Middle,777
North Senior High,1105
Tartan Senior High,1049
PrairieCare Maplewood,2
Fairview Adolescent Education Program,0
Therapeutic Education Collective (TEC),
Roseville Area Senior High,1075
Roseville Area Middle,474
Parkview Center School,246
Fairview School Readiness Plus,
Harambee Elementary School,213
Fairview Alternative High School,
Brimhall Elementary,254
Central Park Elementary,306
Edgerton Elementary,294
Falcon Heights Elementary,110
Little Canada Elementary,360
Williams Elementary,211
FAIRVIEW PROGRAM,71
White Bear Lake District Center,12
White Bear North Campus Senior,406
Normandy Park Education Center,60
Central Middle,216
Sunrise Park Middle,297
Sunrise Park Area Learning Center,37
White Bear South Campus Senior,288
Oneka Elementary School,93
North Star Elementary,135
Birch Lake Elementary,126
Otter Lake Elementary,91
Lakeaires Elementary,169
Lincoln Elementary,89
Matoska International,166
Vadnais Heights Elementary,166
Willow Lane Elementary,190
White Bear Area Learning Center,93
White Bear Transition Plus Program,29
A. G. A. P. E. Teen Parent,
Home/Hospital Instruction,
Anna Westin House,
Brittany's Place,
Saint Paul Online High School,256
Central Senior High,726
Creative Arts Secondary School,283
Como Park Senior High,792
Harding Senior High,1268
Highland Park Senior High,673
HUMBOLDT HIGH SCHOOL,874
Johnson Senior High,934
Open World Learning Secondary,160
Washington Technology Senior High,881
Saint Paul Online Middle School,112
Battle Creek Middle,520
Farnsworth Aerospace Upper,374
Txuj Ci HMong Language and Culture Upper,98
Highland Park Middle School,374
Murray Middle School,334
Hidden River Middle School,305
E-STEM Middle School,379
Washington Technology Middle School,651
Saint Paul Online Elementary School,130
Adams Magnet Elementary,260
Battle Creek Elementary School,376
Benjamin E Mays Magnet,
Chelsea Heights Elementary,142
Cherokee Heights Elementary School,159
Bridge View Special Education,92
Como Park Elementary,280
Daytons Bluff Elementary,232
EXPO for Excellence Elementary School,191
East African Culture and Learning Program,
Bruce F Vento Elementary,
Eastern Heights Elementary,244
Farnsworth Aerospace Lower,392
Four Seasons Elementary,
L'Etoile du Nord French Immersion,120
Frost Lake Elementary School,476
Crossroads Montessori,142
Crossroads Science Program,
Groveland Park Elementary,167
Hamline Elementary School,245
JIE MING MANDARIN IMMERSION ACADEMY,159
The Heights Community School,257
Hazel Park Preparatory Academy,
Highland Park Elementary,255
JJ Hill Montessori,140
Capitol Hill Magnet/Rondo,454
Highwood Hills Elementary,229
Global Arts Plus Lower,265
Horace Mann School,95
Maxfield Elementary School,302
Mississippi Creative Arts Elementary,
Global Arts Plus Upper,283
Nokomis Montessori North Campus,243
Nokomis Montessori South Campus,176
Txuj Ci HMong Language and Culture Lower,579
Randolph Heights Elementary,118
Riverview Spanish/English Dual Immersion,191
Paul & Sheila Wellstone Elementary,418
St. Anthony Park Elementary,207
Saint Paul Music Academy,
American Indian Magnet School,457
Rivereast Program,43
Focus Beyond,161
Early Education - Birth To Three,256
Early Ed HUB,37
Early Ed Highland,
Early Ed Eastern Heights,
United Hospital Adolescent Program,
Early Ed Highwood Hills,
Juvenile Service Center,
Early Ed Global Arts Plus,
Early Education Ben Mays/Rondo,
Early Education Como,
Early Education Four Seasons,
Early Education Heights Community,
Early Ed Frost Lake,14
Journeys Secondary School,62
Early Education Daytons Bluff,
Early Ed Battle Creek,9
ECSE Inclusion,225
Gordon Parks High School,156
ALC Gateway to College,113
LEAP High School,150
Guadalupe Alternative Programs,
J.A. Hughes Elementary,79
Lafayette Secondary,56
Milroy Elementary,0
Wabasso Elementary,95
Wabasso Secondary,88
Jefferson Elementary,331
Lincoln Elementary,345
Roosevelt Elementary,330
Faribault Middle,454
Faribault Senior High,574
Faribault Area Learning Center,71
Early Childhood Special Education,65
Falcons Online Academy-Middle School,8
Falcons Online Academy-HS,49
Northfield Senior High,393
Northfield Middle,218
Greenvale Park Elementary,167
Northfield Community Education Center,45
Bridgewater Elementary,172
Spring Creek Elementary,143
Northfield Area Learning Center,70
Hills-Beaver Creek Elementary,34
Hills-Beaver Creek Secondary,49
Badger Elementary,70
Badger Secondary,53
Roseau Elementary,205
Roseau Secondary,122
Warroad Elementary,199
Angle Inlet Elementary,
Warroad High School,194
Warroad Alternative Learning Program,
Warroad Early Childhood Special Education,28
Vaughan-Steffensrud Elementary,132
Chisholm Elementary,67
Chisholm Secondary,156
Memorial Middle School,57
Washington Elementary,101
Memorial High School,59
Floodwood Elementary,39
Floodwood Secondary,32
Hermantown Elementary,158
Hermantown Middle,144
Hermantown Senior High,112
Hermantown Early Childhood,13
Hermantown Alternative Learning Program,7
Hibbing Early Learning Center,31
Greenhaven Elementary,123
Washington Elementary,178
Lincoln Elementary,352
Hibbing High,438
Mesabi Area Learning Center,17
Proctor Senior High,186
A.I. Jedlicka Middle School,153
Bay View Elementary,219
Pike Lake Elementary,66
Early Childhood Center,19
Nett Lake Elementary,37
Merritt Creek Academy,72
Denfeld High School,530
East High School,320
Lincoln Park Middle School,355
Ordean East Middle School,276
Congdon Elementary,83
Homecroft Elementary,110
Lakewood Elementary,77
Lester Park Elementary,114
Lowell Elementary,144
Lowell Elementary Spanish Immersion,65
Laura MacArthur Elementary,241
Myers-Wilkins Elementary,
Piedmont Elementary,269
Stowe Elementary,169
Chester Creek Academy,
Rockridge Academy,39
Arrowhead Academy,5
Special Ed. N.P.,2
Duluth Area Learning Center,72
Bethany Crisis Shelter,
ALC Independent Study,83
ALC School Within a School,176
Superior Academy,4
Academic Excellence Online,28
Early Childhood Special Education,48
The Bridge,9
Merritt Elementary,163
Mountain Iron-Buhl Secondary,112
Chatfield Elementary,116
Oak Crest Elementary,131
Belle Plaine Senior High,101
Belle Plaine Junior High,59
Belle Plaine Transitions/Work Experience Program,
Belle Plaine Early Childhood Special Education,
Jordan High School,163
Jordan Middle,162
Jordan Early Childhood,12
Jordan Elementary,216
La Ola Del Lago at Grainwood,55
Westwood Elementary,124
Five Hawks Elementary,103
Glendale Elementary,146
Jeffers Pond Elementary,60
Redtail Ridge Elementary School,67
Hamilton Ridge Elementary School,120
Prior Lake-Savage Middle School,370
Prior Lake High School,533
ALC Independent Study,
Prior Lake-Savage Area ALC,33
Edgewood ECSE,41
Laker Online,
Shakopee High School,1016
Shakopee West Middle School,325
Shakopee East Middle School,349
Tokata Learning Center,62
Tokata ALC Independent Study,
Sabers Online Middle School,
Sweeney Elementary,304
Sun Path Elementary,238
Red Oak Elementary,264
Eagle Creek Elementary School,254
Jackson Elementary,250
Special Services,64
New Prague Senior High,204
New Prague Middle School,194
Compass Learning Center,
New Prague Credit Recovery,
Raven Stream Elementary,145
Central Education Campus,28
Eagle View,102
Falcon Ridge,117
Becker Intermediate Elementary,178
Becker Senior High,173
Becker Middle,138
Becker Primary,176
BECKER ALTERNATIVE LEARNING PROGRAM,9
Independence Elementary,268
Big Lake Senior High,269
Big Lake Middle School,247
Liberty Elementary,295
Big Lake Online K-5,15
Big Lake Online 6-12,76
Rogers Elementary,88
Elk River District Shared Time Prog,
Parker Elementary,155
Online728 Elementary School,9
Hassan Elementary,133
Twin Lakes Elementary,175
Prairie View Elementary School,154
Zimmerman Elementary,144
Westwood Elementary,164
Lincoln Elementary,264
Handke Center - Early Childhood Special Education,106
Rogers Middle School,165
Zimmerman Middle,162
Online728 Middle School,6
Prairie View Middle School,170
VandenBerge Middle School,143
ISD 728 Focus/Journey,15
Salk Middle School,206
Elk River Senior High,353
Rogers Senior High,328
Zimmerman High School,173
Online728 High School,19
C.O.M.P.A.S.S.,13
Ivan Sand Community High School,51
FAIRVIEW PROGRAM,
Ivan Sand Middle School ALC,
Meadowvale Elementary,93
Otsego Elementary,121
Holdingford Elementary,137
Holdingford Secondary,106
Kimball Elementary,107
Kimball Secondary,81
Melrose Elementary,195
Melrose Middle,104
Melrose Secondary,153
Paynesville Area Elementary,127
Paynesville Area Secondary School,144
Special Education Facilities,36
Clearview Elementary,146
Kennedy Community School,338
Lincoln Elementary,264
Early Childhood Special Education at Quarryview Education Center,
Madison Elementary,525
Discovery Community Elementary,458
Talahi Community Elementary,626
Westwood Elementary,272
Oak Hill Community Elementary,538
North Junior High,527
South Junior High,583
Apollo Senior High,798
Technical Senior High,1013
Roosevelt Education Center,9
St. Cloud Area Learning Center,187
St. Cloud Hospital Programs Non-Res,16
St Cloud Hospital Progs-Residential,
Newport Academy,
Katherine Johnson Education Center,57
ALC - Sauk Rapids,33
ALC - Sartell,
Sauk Centre Elementary,171
Sauk Centre Secondary,235
Sauk Centre Middle,58
Albany Elementary,149
Avon Elementary,61
Albany Area Middle School,102
Albany Area High School,104
Sartell Senior High,271
Pine Meadow Primary School,149
Sartell Middle,214
Oak Ridge Early Learning Center,82
Riverview Intermediate School,215
Richmond Elementary,38
Rockville Elementary,34
Cold Spring Elementary,240
Rocori Senior High,199
Rocori Middle,138
Rocori ALC,11
Rocori Online Learning Site,31
Blooming Prairie Elementary,142
Blooming Prairie High School,146
Blooming Prairie Intermediate School,66
Owatonna Senior High,531
Owatonna Middle School,463
Owatonna ALC 9-12,64
Lincoln Elementary,219
McKinley Elementary,217
Owatonna ECSE,68
Washington Elementary,214
Wilson Elementary,380
Owatonna Online K-6,49
Owatonna Online 9-12,34
Owatonna Online 7-8,17
Medford Elementary,199
Medford Secondary,157
Hancock Elementary,68
Hancock Sec.,47
Chokio-Alberta Secondary,28
Chokio-Alberta Elementary,36
Murdock Elementary,174
Kerkhoven Secondary,144
Benson Secondary,156
Northside Elementary,193
BENSON AREA LEARNING CENTER,
Heartland Girls Ranch,
Bertha Elementary,156
Bertha Secondary,129
Browerville Elementary,169
Browerville Secondary,130
Browns Valley Elementary,72
Browns Valley Middle,35
Pearson Elementary,87
Wheaton Secondary,86
Wabasha-Kellogg Elementary,88
Wabasha-Kellogg Secondary,83
Falcon View Connections Academy Elementary School,59
Falcon View Connections Academy Middle School,64
Falcon View Connections Academy High School,140
Bluff View Elementary,235
Lincoln Secondary,183
Verndale Elementary,144
Verndale Secondary,129
Sebeka Elementary,144
Sebeka Secondary,119
Menahga Elementary,325
MENAHGA HIGH SCHOOL,242
Hartley Elementary,232
Waseca Early Childhood,
Waseca Intermediate School,146
Waseca Junior High,126
Waseca Senior High,210
Waseca Area Learning Center,48
Waseca Middle Level ALC,
Community School Credit Recovery,6
Forest Lake Area Community School,103
Forest Lake Area High School,421
Forest Lake Area Middle School,219
Step,21
Columbus Elementary,90
Forest Lake Elementary,147
Forest View Elementary,175
Lino Lakes Elementary,166
Linwood Elementary,109
Scandia Elementary,62
Wyoming Elementary,114
Early Childhood Special Education,37
O.H. Anderson Elementary,106
Wildwood Elementary,77
Mahtomedi Middle,112
Mahtomedi Senior High,151
Mahtomedi Preschool,7
Passages Transition Program,5
Cottage Grove Middle School,300
Lake Middle School,163
Oltman Middle School,328
South Washington Alternative High School,54
Park High School,603
East Ridge High School,294
SoWashCo Online 9-12,16
Woodbury Middle School,257
Woodbury High School,403
Armstrong Elementary,124
Nuevas Fronteras Spanish Immersion Elementary,81
Crestview Elementary,207
Ages 3-5 Early Childhood Special Education,154
Grey Cloud Elementary,136
Hillside Elementary,153
Cottage Grove Elementary,112
Newport Elementary,167
Pine Hill Elementary,164
Liberty Ridge Elementary,133
Pullman Elementary,166
Red Rock Elementary,98
Royal Oaks Elementary,123
Gordon Bailey Elementary,122
Woodbury Elementary,187
Middleton Elementary,110
Access,0
Next Step Transition Program,43
Valley Crossing Elementary,101
Stillwater Area High School,555
Oak-Land Middle School,240
Stillwater Middle School,196
Bridge Transition Program,17
St Croix Valley Area Learning Cntr.,34
Afton-Lakeland Elementary,77
Andersen Elementary,56
Lake Elmo Elementary,156
Lily Lake Elementary,129
Stonebridge Elementary,58
Stillwater Dist. Special Services,
Brookview Elementary,171
GATE 4/5,
Stillwater Special Services-ECSE,51
Rutherford Elementary,73
WCJC,
Butterfield Elementary,77
Butterfield Secondary,64
Madelia Elementary,194
Madelia Secondary,138
St. James Early Childhood,
St. James Northside Elementary,319
Armstrong School,
St. James Middle/High School,326
Breckenridge Elementary,145
Breckenridge Middle,44
Breckenridge Senior High,85
Rothsay Elementary,66
Rothsay Secondary,47
Campbell-Tintah Elementary,20
Campbell-Tintah Secondary,7
Lewiston-Altura Elementary,99
Lewiston-Altura Secondary,110
St. Charles Elementary,180
St. Charles Secondary,157
Jefferson Elementary,159
Winona Early Childhood Special Ed.,35
Winona Middle,317
Winona Senior High,307
Washington-Kosciusko Elementary,169
Goodview Elementary,93
Winona Area Learning Center,63
WALC Extended Day,8
Annandale Elementary School,263
Annandale Middle School,133
Annandale Senior High,137
Parkside Elementary,151
Buffalo Early Child. Sp. Ed Program,59
Hanover Elementary,55
Buffalo Community Middle,351
Buffalo Senior High,422
Phoenix Learning Center,14
Montrose Elementary School of Innovation,168
Tatanka Elementary STEM School,175
Northwinds Elementary,115
Discovery Elementary,50
Delano Elementary,111
Delano Intermediate School,65
Delano High School,140
Maple Lake Elementary,120
Maple Lake Secondary,85
Pinewood Elementary,306
Monticello Senior High,379
Monticello Middle,327
Monticello Alternative Program,11
Little Mountain Elementary,205
Eastview Education Center,145
Monticello Nature Based Education,20
882 Online 6-12,17
Rockford Secondary,135
Rockford Elementary Arts Magnet School,211
Rockford Middle,143
Albertville Primary,108
St. Michael-Albertville Senior High,383
St. Michael-Albertville Middle East,165
St. Michael Elementary,130
Knights Academy,23
Big Woods Elementary,119
Fieldstone Elementary School,157
St. Michael-Albertville Middle West,206
STMA Online - Secondary,
Wings Transition Program,
Canby Secondary,123
Canby Elementary,140
Cambridge Primary School,196
Isanti Primary School,173
Cambridge-Isanti STEAM School,47
Cambridge Intermediate School,191
Isanti Intermediate School,187
Cambridge Middle School,199
Isanti Middle School,179
Cambridge-Isanti High School,519
Riverside Academy,29
Riverside Academy IS,21
Isanti Early Childhood Special Education,33
Cambridge Early Childhood Special Education,33
C-I Education Center,
Moving Forward,15
Brookside Academy,16
Cambridge-Isanti Online Elementary (K-5),
Cambridge-Isanti Online Secondary (6-12),33
Milaca Elementary,457
Milaca Secondary High,311
Milaca Area Learning Center,14
Milaca 7-12 Online,14
Ulen-Hitterdal Elementary,75
Ulen-Hitterdal Secondary,57
Southern Plains Education Coop.,9
SOUTHERN PLAINS AREA LEARNING CNTR.,50
Southern Plains Bridges,
Positive Approach To Learning,
Bellaire Education Center,10
A/O Program,
Willows,
Quora Secondary School,71
PROJECT RETURN,
Karner Blue Education Center,58
South Campus Education Center,27
Pankalo Education Center,53
916 MAHTOMEDI ACADEMY,37
East View Academy,69
WELS North,18
ARIS,12
Metro Heights Academy,136
917 TESA,45
917 IDEA,27
917 Deaf/Hard of Hearing,11
917 Paces,7
917 DCALS Main,46
917 DCALS North,46
917 New Chance,
917 Riverside School,18
917 Sun,62
917 Dash,16
917 TEA,21
917 CASE,
Lakes Country Academy - FF,
Lakes Country Academy - ALEX,
Fergus Falls Early Childhood Sp Ed,12
Fergus Falls EC/Elementary Sp Ed,
Fergus Falls Elementary Sp Ed 5-8,
Meeker-Wright Early Childhood Sp Ed,15
Trek Program,
CORNERSTONES PROGRAM,10
Step TD Program,7
WINGS ALTERNATIVE PROGRAM,
VILLAGE RANCH ALTERNATIVE PROGRAM,26
Journeys Alternative Program,
Eastern Wright Program,
Sholund School for Girls,
Wright Technical Center ALC,
Wright Technical Center ALC Middle,
SWWC Alternative Learning Center - Glencoe,10
SWWC ELC - Windom,36
SWWC Alternative Learning Center - Windom,40
SWWC ELC - Belview,
SWWC ELC - Cosmos,28
SWWC ELC - Pipestone,19
SWWC Alternative Learning Center - Pipestone,17
Project Search-Avera Marshall,
SWWC ELC - Willmar,12
SWWC ELC - Montevideo,21
Bemidji Regional Interdist. Council,3
Perpich Center For Arts Education,31
MN Correctional Facility-Lino Lakes,
MN Correctional Facility-Stillwater,
MCF-Moose Lake/Willow River,
MN Correctional Facility-St. Cloud,
"MCF-Red Wing, Maginnis High School",
MN Correctional Facility-Shakopee,
Lake Crystal-Wellcome Memorial Elementary,134
Lake Crystal-Wellcome Memorial Secondary,131
LCWM ECSE,8
Triton Middle School,76
Triton Elementary,180
Triton High School,106
United South Central Elementary,228
United South Central High School,168
Maple River Elementary,185
Maple River Secondary,178
ECSE,19
Kingsland Elementary School,124
Kingsland Junior/Senior High School,57
Babbitt Elementary,56
Tower-Soudan Elementary,63
Northeast Range Secondary,59
South Ridge Elementary,145
South Ridge Secondary,111
North Woods Elementary,130
North Woods Secondary,127
Cherry Secondary,107
Cherry Elementary,123
Morristown Elementary,29
Waterville-Elysian-Morristown Jr.,40
Waterville Elementary,112
Waterville-Elysian-Morristown Sr.,71
Chisago Lakes El.,89
Lakeside El.,173
Chisago Lakes Middle,207
Chisago Lakes Senior High,276
Taylors Falls Elementary,107
Chisago Lakes Family Center,5
Minnewaska Secondary,124
Minnewaska Area Junior High,62
Minnewaska Area Intermediate School,96
Minnewaska Area Elementary,111
Minnewaska Area WIN Academy,29
Minnewaska Early Childhood Sp.Ed.,18
Wadena-Deer Creek Senior High,231
Wadena-Deer Creek Elementary,281
Wadena-Deer Creek 5th And 6th Grade,84
Buffalo Lake-Hector-Stewart Elementary,116
Buffalo Lake-Hector-Stewart Secondary,128
Dilworth-Glyndon-Felton Elementary,240
Dilworth-Glyndon-Felton Middle School,184
Dilworth-Glyndon-Felton Senior High,118
Dilworth-Glyndon-Felton ALP,10
Hinckley Elementary,299
Hinckley-Finlayson Secondary,244
Finlayson Elementary,37
Empower Learning Center,12
Lakeview Elementary,141
Lakeview Secondary,109
NRHEG Secondary,182
NRHEG Elementary,166
West Elementary,166
Murray County Central High School,110
Staples-Motley Elementary,158
Staples-Motley Senior High,123
Motley-Staples Middle School,153
Kittson Central Elementary,32
Kittson Central Secondary,37
Kenyon-Wanamingo Elementary,78
Kenyon-Wanamingo Senior High,75
Kenyon-Wanamingo Middle,73
Pine River-Backus Elementary,327
Pine River-Backus High School,201
Pine River-Backus Alternative Learning Program,36
Warren Elementary,139
Warren-Alvarado-Oslo Secondary,100
MACCRAY Secondary,189
MACCRAY Elementary,173
Luverne Elementary,213
Luverne Middle,
Luverne Senior High,107
LUVERNE ALTERNATIVE PROGRAM,
Bert Raney Elementary School,148
Yellow Medicine East Secondary School,144
Fillmore Central Elementary,126
Fillmore Central Alternative Learning Program,6
Fillmore Central Senior High,86
Norman County East Secondary,44
Norman County East Elementary,62
Sibley East-Arlington Senior High,154
Sibley East-Gaylord Elementary,241
Sibley East Middle School,110
Clearbrook-Gonvick Elementary,150
Clearbrook-Gonvick Secondary,110
West Central Area N. El.,72
West Central Area S. El.,54
WEST CENTRAL AREA SECONDARY,91
WCA Middle School,115
Karlstad Elementary,50
Tri-County Secondary,41
Belgrade-Brooten-Elrosa Elementary,152
Belgrade-Brooten-Elrosa Sec.,123
GFW Elementary School,130
GFW High School,93
GFW Middle School,96
A.C.G.C. Elementary,195
ACGC Elementary Grades 5 And 6,74
A.C.G.C. Secondary,185
Park Elementary,179
Le Sueur-Henderson High School,84
Le Sueur-Henderson Middle School,71
Alternative Learning Cooperative,9
Sherburn Elementary,67
Trimont Elementary,80
Martin County West Senior High,93
Martin County West Junior High,36
BOLD-Bird Island Elementary,115
BOLD Middle School,103
BOLD Senior High School,88
Granada Huntley East Chain Elementary School,78
Granada Huntley East Chain High School,40
Granada Huntley East Chain Middle School,48
East Central Elementary,211
East Central Senior Secondary,173
Crossroads Area Learning Center,31
Win-E-Mac Elementary,81
Win-E-Mac Secondary,97
Greenbush Elementary,64
Greenbush-Middle River Secondary,25
Winsted Elementary,94
Howard Lake-Waverly-Winsted Sec.,99
Humphrey Elementary,97
Howard Lake Waverly Winsted ECSE,10
HLWW Alternative Learning Program,10
Howard Lake-Waverly-Winsted Middle School,130
Pipestone Elementary,262
Heartland Elementary,
Pipestone Middle,
Pipestone Senior High,128
Mesabi East Elementary,251
Mesabi East Secondary,179
Fairmont Elementary School,579
Fairmont Jr./Sr. High School,396
Long Prairie-Grey Eagle Elementary,390
Long Prairie-Grey Eagle Secondary School,312
Cedar Mountain Elementary,94
Cedar Mountain Secondary,100
Morris Area Secondary,144
Morris Area Elementary,209
Zumbrota-Mazeppa Elementary School,112
Zumbrota-Mazeppa Senior High,93
Zumbrota-Mazeppa Middle School,41
Zumbrota-Mazeppa Primary School,82
Janesville-Waldorf-Pemberton El.Em.,105
Janesville-Waldorf-Pemberton Sec,117
Madison-Marietta-Nassau Elementary,61
Appleton-Milan Elementary,155
Lac qui Parle Valley Middle School,73
Lac qui Parle Valley Secondary,178
Argyle Elementary,45
Stephen Senior High,36
Lincoln Elementary,164
Lakeside Elementary,189
GSL Junior High School,85
Glencoe-Silver Lake Senior High,174
Blue Earth Area Elementary,246
Blue Earth Area Secondary,180
Blue Earth Area Middle,67
Blue Earth Area Early Childhood Special Education,8
Red Rock Central Secondary,94
Red Rock Central Elementary,55
Glenville Emmons Elementary,53
Glenville-Emmons Secondary,38
Pre-K - 5th Grade Building,54
6-12th Grade Building,35
Big Stone Colony Elementary,
Lismore Colony Elementary,
Lismore Colony Senior High School,
Big Stone Colony High School,
Lake Park Audubon Elementary,157
Lake Park Audubon Secondary,130
Renville County West Elementary,194
Renville County West Senior High,114
Pleasantview Elementary,72
Riverside Elementary,153
Jackson County Central Senior High,126
Jackson County Central Middle,93
Redwood Valley Senior High,148
Reede Gray Elementary,221
Redwood Valley Middle,159
Walnut Grove Elementary,180
Westbrook-Walnut Grove Secondary,105
Plainview-Elgin-Millville Pk-3,156
Plainview-Elgin-Millville 4-6,125
Plainview-Elgin-Millville Junior,85
PLAINVIEW-ELGIN-MILLVILLE HIGH,140
RTR Elementary School,93
RTR Secondary School,136
Knoll Elementary,106
Ortonville Secondary,92
Tracy Secondary,
Tracy Elementary,204
Out-of-State Care and Treatment,
Le Center Pre K-8,159
Tri-City United High School,218
Montgomery Pre K-8,279
LONSDALE PRE K-6,89
RLCC Elementary at Oklee,
Red Lake County Central Elementary,84
Red Lake County Central High School,
Round Lake-Brewster Elementary,259
Round Lake-Brewster Middle School,90
Brandon Elementary,46
Evansville Elementary,61
Brandon-Evansville Middle School,44
Brandon-Evansville High School,63
North Star Elementary,161
Laurentian Elementary,200
Rock Ridge Secondary,342
Parkview Elementary,190
Ada-Borup-West Elementary,179
Ada-Borup-West Secondary,152
City Academy,105
Bluffview Montessori,59
"New Heights School, Inc.",36
New Heights Elementary School,25
Metro Deaf School,86
Minnesota New Country School,48
Minnesota New Country Elementary,36
PACT Charter Elementary,157
PACT Charter Secondary,194
Athlos Leadership Academy,543
Community of Peace Academy Elementary School,288
Community of Peace Academy High School,201
Community of Peace Academy Middle School,253
World Learner Charter School,44
Minnesota Transitions Charter Elementary,80
MTS High School,
Minnesota Virtual Schools,290
MTS Pease Academy,9
Banaadir Academy,
Minnesota Connections Academy 7-12,1790
Banaadir Elementary,
Banaadir Secondary,
Minnesota Connections Academy K-6,629
Achieve Language Academy,385
North Star Academy,320
Raleigh Primary/El Academy,86
CVA PASCAL Middle & High School (6-12),22
CVA PASCAL Elementary School (K-5),6
CVA Fusion Elementary School (K-5),11
CVA Fusion Middle School (6-8),10
CVA Fusion High School (9-12),23
E.C.H.O. Secondary,22
E.C.H.O. Elementary,23
HGA Elementary,
HGA Secondary,
HGA Junior High,
St. Paul City Primary School,237
St. Paul City Middle School,119
St. Paul City High School,126
Jennings Experiential High School,39
LIFE Prep,125
Face To Face Academy,
Face to Face Academy Online,
Sojourner Truth Academy,
High School For Recording Arts,185
Math And Science Academy,56
Northwest Passage High School,74
North Lakes Academy Middle School,51
North Lakes Academy Upper School,57
North Lakes Academy Elementary,109
La Crescent Montessori & STEM Academy,17
La Crescent Secondary Montessori & STEM Academy,17
Nerstrand Charter School,28
Rosa Parks Charter High School,48
El Colegio Charter School,71
Schoolcraft Learning Community,83
Crosslake Community Seat Based School,67
Crosslake Community 6-12 Online School,140
Crosslake Community K-5 Online School,16
Riverway Learning Community Charter,42
Riverway Secondary,55
Kato Public Charter School,58
Aurora Charter School,192
Aurora Middle School,148
Excell Academy Charter,
HOPE Community Academy Elementary,
HOPE Community Academy Middle School,180
HOPE Community Academy High School,
Academia Cesar Chavez Charter School,458
AFSA High School,132
AFSA Elementary,93
Avalon School,55
Avalon Middle School,22
Online High School,13
Minnesota International Middle Charter School,
Twin Cities International Schools,
Friendship Academy of the Arts - Primary,86
Friendship Academy of the Arts - Intermediate,118
Central Lakes Adventure School,29
Discovery Public School of Faribault,37
BlueSky Charter School,263
Ridgeway Community School,20
North Shore Community School,136
Harbor City International Charter,80
SAGE Academy Charter School,42
Urban Academy,
New City School,173
Prairie Creek Community School,30
Arcadia Charter School,33
Watershed High School,29
New Century Academy,65
TRIO Wolf Creek Distance Learning,67
"Partnership Academy, Inc.",
Nova Classical Academy Lower School,127
NOVA CLASSICAL ACADEMY UPPER SCHOOL,96
Great Expectations,44
RONDO CAMPUS,
Unity Campus,
Downtown Campus,
MNIC Online Program,
Hmong College Prep Academy HS,660
Hmong College Prep Academy MS,569
Hmong College Prep Academy ES,865
Paladin Career and Technical High School,149
Great River School,95
Great River Elementary School,85
TrekNorth High School,83
Trek North Middle School,73
Voyageurs Expeditionary School,61
Voyageurs Expeditionary MS,36
PIM Arts High School,92
Augsburg Fairview Academy,
Saint Paul Conservatory for Performing Artists,51
Spero Academy,62
Spero Academy Brooklyn Park,35
Lakes International Language Academy Lower School,117
Lakes International Language Academy Upper School,83
LILA Kinder Center,28
Kaleidoscope Charter Elementary School,100
Kaleidoscope Charter High School,21
Kaleidoscope Middle School,42
Academic Arts High School,0
St. Croix Preparatory Academy Lower,53
St. Croix Preparatory Academy Middle,48
